,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,N,P,K ,temperature ,humidity,pH,rainfall
368,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,rice,38119,108906,97,59,43,26.35927159,84.04403589,6.286500176,271.3586137
395,Andhra Pradesh,ANANTAPUR,2002,Kharif     ,rice,29066,66329,97,50,41,24.52922681,80.54498576,7.070959995,260.2634026
411,Andhra Pradesh,ANANTAPUR,2002,Rabi       ,rice,10960,20462,60,49,44,20.77576147,84.49774397,6.244841491,240.0810647
452,Andhra Pradesh,ANANTAPUR,2003,Kharif     ,rice,17515,44891,84,51,35,22.30157427,80.64416466,6.043304899,197.9791215
470,Andhra Pradesh,ANANTAPUR,2003,Rabi       ,rice,10826,25463,73,57,41,21.44653958,84.94375962,5.824709117,272.2017204
506,Andhra Pradesh,ANANTAPUR,2004,Kharif     ,rice,24335,85051,92,35,40,22.17931888,80.33127223,6.357389366,200.0882787
522,Andhra Pradesh,ANANTAPUR,2004,Rabi       ,rice,9240,21622,85,37,39,24.52783742,82.73685569,6.364134968,224.6757231
548,Andhra Pradesh,ANANTAPUR,2005,Kharif     ,rice,25008,69972,98,53,38,20.26707606,81.63895217,5.01450727,270.4417274
563,Andhra Pradesh,ANANTAPUR,2005,Rabi       ,rice,23142,55587,88,54,44,25.7354293,83.88266234,6.149410611,233.1321372
589,Andhra Pradesh,ANANTAPUR,2006,Kharif     ,rice,22349,67427,95,55,42,26.79533926,82.1480873,5.950660556,193.3473987
603,Andhra Pradesh,ANANTAPUR,2006,Rabi       ,rice,10846,31974,99,57,35,26.75754171,81.17734011,5.960370061,272.2999056
626,Andhra Pradesh,ANANTAPUR,2007,Kharif     ,rice,30000,95000,95,39,36,23.86330467,83.15250801,5.561398642,285.2493645
633,Andhra Pradesh,ANANTAPUR,2007,Rabi       ,rice,14000,37000,60,43,44,21.01944696,82.95221726,7.416245107,298.4018471
648,Andhra Pradesh,ANANTAPUR,2008,Kharif     ,rice,30306,94615,63,44,41,24.17298839,83.7287574,5.583370042,257.0343554
660,Andhra Pradesh,ANANTAPUR,2008,Rabi       ,rice,18416,49815,62,42,36,22.78133816,82.06719137,6.430010215,248.7183228
684,Andhra Pradesh,ANANTAPUR,2009,Kharif     ,rice,32226,101512,64,45,43,25.62980105,83.52842314,5.534878156,209.9001977
699,Andhra Pradesh,ANANTAPUR,2009,Rabi       ,rice,19428,46899,83,60,36,25.59704938,80.14509262,6.903985986,200.834898
725,Andhra Pradesh,ANANTAPUR,2010,Kharif     ,rice,34973,102007,82,40,40,23.83067496,84.81360127,6.271478838,298.5601175
738,Andhra Pradesh,ANANTAPUR,2010,Rabi       ,rice,24828,69394,85,52,45,26.31355498,82.36698992,7.224285503,265.5355937
767,Andhra Pradesh,ANANTAPUR,2011,Kharif     ,rice,37720,94531,91,35,38,24.8972823,80.52586088,6.13428721,183.6793207
783,Andhra Pradesh,ANANTAPUR,2011,Rabi       ,rice,10948,25542,76,49,42,24.958779,84.47963372,5.206373153,196.9560008
820,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,rice,22056,58691,74,39,38,23.24113501,84.59201843,7.782051313,233.0453455
846,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,rice,6998,17768,79,43,39,21.66628296,80.70960551,7.062779015,210.8142087
881,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,rice,28114,59377,88,55,45,24.63544858,80.41363018,7.730367824,253.7202781
908,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,rice,12283,28558,60,36,43,23.43121862,83.06310136,5.286203711,219.9048349
953,Andhra Pradesh,ANANTAPUR,2014,Kharif     ,rice,22658,68155,76,60,39,20.0454142,80.3477562,6.766240045,208.5810155
981,Andhra Pradesh,ANANTAPUR,2014,Rabi       ,rice,6553,14377,93,56,42,23.85724032,82.22572988,7.382762603,195.0948311
990,Andhra Pradesh,ANANTAPUR,2014,Whole Year ,rice,29211,82532,65,60,43,21.97199397,81.89918197,5.658169482,227.3637009
1001,Andhra Pradesh,CHITTOOR,1997,Kharif     ,rice,42300,84400,95,52,36,26.22916897,83.83625819,5.543360238,286.5083725
1010,Andhra Pradesh,CHITTOOR,1997,Rabi       ,rice,57400,137400,75,38,39,23.44676801,84.79352417,6.215109715,283.9338466
1024,Andhra Pradesh,CHITTOOR,1998,Kharif     ,rice,42000,105400,74,54,38,25.65553461,83.47021081,7.120272972,217.3788583
1034,Andhra Pradesh,CHITTOOR,1998,Rabi       ,rice,62400,159200,91,36,45,24.44345477,82.45432595,5.950647577,267.9761948
1048,Andhra Pradesh,CHITTOOR,1999,Kharif     ,rice,37542,75477,71,46,40,20.2801937,82.1235421,7.236705436,191.9535738
1061,Andhra Pradesh,CHITTOOR,1999,Rabi       ,rice,37489,76800,99,55,35,21.7238313,80.2389895,6.501697816,277.9626192
1085,Andhra Pradesh,CHITTOOR,2000,Kharif     ,rice,33776,89236,72,40,38,20.41447029,82.20802629,7.592490617,245.1511304
1104,Andhra Pradesh,CHITTOOR,2000,Rabi       ,rice,41442,97181,83,58,45,25.75528612,83.51827127,5.875345751,245.6626799
1134,Andhra Pradesh,CHITTOOR,2001,Kharif     ,rice,24377,55311,93,58,38,20.61521424,83.77345559,6.932400225,279.5451717
1150,Andhra Pradesh,CHITTOOR,2001,Rabi       ,rice,62049,170573,70,36,42,21.84106875,80.72886384,6.946209881,202.3838319
1176,Andhra Pradesh,CHITTOOR,2002,Kharif     ,rice,20137,50020,76,47,42,20.08369642,83.29114712,5.739175027,263.6372176
1195,Andhra Pradesh,CHITTOOR,2002,Rabi       ,rice,30034,76827,99,41,36,24.45802087,82.74835604,6.738652179,182.5616319
1237,Andhra Pradesh,CHITTOOR,2003,Kharif     ,rice,18495,38562,99,54,37,21.14347496,80.33502926,5.594819626,198.6730942
1255,Andhra Pradesh,CHITTOOR,2003,Rabi       ,rice,27286,46714,86,59,35,25.78720567,82.11124033,6.946636369,243.5120414
1296,Andhra Pradesh,CHITTOOR,2004,Kharif     ,rice,19055,43331,69,46,41,23.64124821,80.28597873,5.012139669,263.1103304
1313,Andhra Pradesh,CHITTOOR,2004,Rabi       ,rice,25822,69177,91,56,37,23.43191632,80.56887849,6.363472208,269.5039162
1341,Andhra Pradesh,CHITTOOR,2005,Kharif     ,rice,16240,37173,61,52,41,24.97669518,83.891805,6.880431223,204.8001847
1356,Andhra Pradesh,CHITTOOR,2005,Rabi       ,rice,66351,193612,67,45,38,22.72791041,82.1706881,7.300410836,260.8875056
1382,Andhra Pradesh,CHITTOOR,2006,Kharif     ,rice,17049,42520,79,42,37,24.87300744,82.84022551,6.587918708,295.6094492
1398,Andhra Pradesh,CHITTOOR,2006,Rabi       ,rice,29164,85101,78,43,42,21.32376327,83.00320459,7.283736617,192.3197536
1422,Andhra Pradesh,CHITTOOR,2007,Kharif     ,rice,15000,42000,75,54,36,26.29465461,84.56919326,7.023936392,257.4914906
1430,Andhra Pradesh,CHITTOOR,2007,Rabi       ,rice,37000,116000,97,36,45,22.2286982,81.85872947,6.939083505,278.0791793
1446,Andhra Pradesh,CHITTOOR,2008,Kharif     ,rice,17596,46242,67,47,44,26.73072391,81.78596776,7.868474653,280.4044392
1459,Andhra Pradesh,CHITTOOR,2008,Rabi       ,rice,37927,118636,73,35,38,24.88921174,81.97927117,5.005306977,185.9461429
1486,Andhra Pradesh,CHITTOOR,2009,Kharif     ,rice,19758,56192,77,36,37,26.88444878,81.46033732,6.136131869,194.5766559
1500,Andhra Pradesh,CHITTOOR,2009,Rabi       ,rice,35155,113937,81,41,38,22.67846116,83.72874389,7.524080076,200.9133156
1527,Andhra Pradesh,CHITTOOR,2010,Kharif     ,rice,18019,53639,68,57,43,26.08867875,80.37979919,5.706943251,182.9043504
1542,Andhra Pradesh,CHITTOOR,2010,Rabi       ,rice,43558,131502,72,45,35,25.42977518,82.94682591,5.758506323,195.3574542
1568,Andhra Pradesh,CHITTOOR,2011,Kharif     ,rice,17342,55719,61,53,43,26.40323239,81.05635517,6.349606327,223.3671883
1585,Andhra Pradesh,CHITTOOR,2011,Rabi       ,rice,33764,113211,67,43,39,26.04371967,84.96907151,5.999969026,186.7536773
1621,Andhra Pradesh,CHITTOOR,2012,Kharif     ,rice,12952,45241,67,58,39,25.2827223,80.54372813,5.453592032,220.1156708
1649,Andhra Pradesh,CHITTOOR,2012,Rabi       ,rice,34557,126168,66,60,38,22.08576562,83.47038318,6.372576327,231.7364957
1680,Andhra Pradesh,CHITTOOR,2013,Kharif     ,rice,15206,48766,82,43,38,23.28617173,81.43321641,5.105588355,242.3170629
1708,Andhra Pradesh,CHITTOOR,2013,Rabi       ,rice,34654,120249,84,50,44,25.48591986,81.40633547,5.935344406,182.6549356
1746,Andhra Pradesh,CHITTOOR,2014,Kharif     ,rice,13304,44462,81,53,42,23.67575393,81.03569343,5.17782304,233.7034975
1771,Andhra Pradesh,CHITTOOR,2014,Rabi       ,rice,27661,87962,91,50,40,20.82477109,84.1341879,6.462391607,230.2242223
1779,Andhra Pradesh,CHITTOOR,2014,Whole Year ,rice,40965,132424,93,53,38,26.92995077,81.91411159,7.069172227,290.6793783
1789,Andhra Pradesh,EAST GODAVARI,1997,Kharif     ,rice,214100,429300,90,44,38,23.83509503,83.88387074,7.473134377,241.2013513
1802,Andhra Pradesh,EAST GODAVARI,1997,Rabi       ,rice,154400,491500,81,45,35,26.52872817,80.12267476,6.158376967,218.9163567
1816,Andhra Pradesh,EAST GODAVARI,1998,Kharif     ,rice,256300,386600,78,40,38,26.46428311,83.85642678,7.549873681,248.2256491
1830,Andhra Pradesh,EAST GODAVARI,1998,Rabi       ,rice,157600,656600,60,51,36,22.69657794,82.81088865,6.028321558,256.9964761
1846,Andhra Pradesh,EAST GODAVARI,1999,Kharif     ,rice,244655,628606,88,46,42,22.68319059,83.46358271,6.604993475,194.2651719
1858,Andhra Pradesh,EAST GODAVARI,1999,Rabi       ,rice,161551,645162,93,47,37,21.53346343,82.14004101,6.500343222,295.9248796
1882,Andhra Pradesh,EAST GODAVARI,2000,Kharif     ,rice,253966,683423,60,55,45,21.40865769,83.3293191,5.935745417,287.5766935
1901,Andhra Pradesh,EAST GODAVARI,2000,Rabi       ,rice,162861,683202,78,35,44,26.54348085,84.67353597,7.072655622,183.6222657
1929,Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,rice,220811,579850,65,37,40,23.35905428,83.59512273,5.333322606,188.413665
1945,Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,rice,165779,750150,90,42,43,20.87974371,82.00274423,6.502985292,202.9355362
1974,Andhra Pradesh,EAST GODAVARI,2002,Kharif     ,rice,194809,551115,85,58,41,21.77046169,80.31964408,7.038096361,226.6555374
1989,Andhra Pradesh,EAST GODAVARI,2002,Rabi       ,rice,106427,491906,60,55,44,23.00445915,82.3207629,7.840207144,263.9642476
2030,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,rice,234673,762453,74,35,40,26.49109635,80.15836264,6.980400905,242.8640342
2045,Andhra Pradesh,EAST GODAVARI,2003,Rabi       ,rice,165321,869092,78,42,42,20.13017482,81.60487287,7.628472891,262.7173405
2085,Andhra Pradesh,EAST GODAVARI,2004,Kharif     ,rice,224521,743614,69,37,42,23.05804872,83.37011772,7.073453503,251.0549998
2100,Andhra Pradesh,EAST GODAVARI,2004,Rabi       ,rice,162903,766296,69,55,38,22.70883798,82.63941394,5.70080568,271.3248604
2127,Andhra Pradesh,EAST GODAVARI,2005,Kharif     ,rice,217411,348727,94,53,40,20.27774362,82.89408619,5.718627178,241.9741949
2143,Andhra Pradesh,EAST GODAVARI,2005,Rabi       ,rice,170012,800927,89,54,38,24.51588066,83.5352163,6.685346424,230.4462359
2171,Andhra Pradesh,EAST GODAVARI,2006,Kharif     ,rice,227930,547716,68,58,38,23.22397386,83.03322691,6.336253525,221.2091958
2187,Andhra Pradesh,EAST GODAVARI,2006,Rabi       ,rice,168963,845829,91,53,40,26.52723513,81.41753846,5.386167788,264.6148697
2209,Andhra Pradesh,EAST GODAVARI,2007,Kharif     ,rice,242000,715000,90,46,42,23.97898217,81.45061596,7.50283396,250.0832336
2218,Andhra Pradesh,EAST GODAVARI,2007,Rabi       ,rice,169000,803000,78,58,44,26.80079604,80.88684822,5.108681786,284.4364567
2237,Andhra Pradesh,EAST GODAVARI,2008,Kharif     ,rice,240231,716609,93,56,36,24.01497622,82.05687182,6.98435366,185.2773389
2250,Andhra Pradesh,EAST GODAVARI,2008,Rabi       ,rice,169861,796648,94,50,37,25.66585205,80.66385045,6.94801983,209.5869708
2277,Andhra Pradesh,EAST GODAVARI,2009,Kharif     ,rice,202153,616567,60,48,39,24.28209415,80.30025587,7.042299069,231.0863347
2292,Andhra Pradesh,EAST GODAVARI,2009,Rabi       ,rice,104423,456537,85,38,41,21.58711777,82.7883708,6.249050656,276.6552459
2318,Andhra Pradesh,EAST GODAVARI,2010,Kharif     ,rice,237640,457704,91,35,39,23.79391957,80.41817957,6.970859754,206.2611855
2331,Andhra Pradesh,EAST GODAVARI,2010,Rabi       ,rice,172888,849917,77,38,36,21.8652524,80.1923008,5.953933276,224.5550169
2356,Andhra Pradesh,EAST GODAVARI,2011,Kharif     ,rice,197445,589741,88,35,40,23.57943626,83.58760316,5.85393208,291.2986618
2372,Andhra Pradesh,EAST GODAVARI,2011,Rabi       ,rice,139649,587084,89,45,36,21.32504158,80.47476396,6.442475375,185.4974732
2403,Andhra Pradesh,EAST GODAVARI,2012,Kharif     ,rice,232300,355651,76,40,43,25.15745531,83.11713476,5.070175667,231.3843163
2426,Andhra Pradesh,EAST GODAVARI,2012,Rabi       ,rice,168756,746239,67,59,41,21.94766735,80.97384195,6.012632591,213.3560921
2454,Andhra Pradesh,EAST GODAVARI,2013,Kharif     ,rice,235159,434104,83,41,43,21.0525355,82.67839517,6.254028451,233.1075816
2478,Andhra Pradesh,EAST GODAVARI,2013,Rabi       ,rice,169523,777602,98,47,37,23.48381344,81.33265073,7.375482851,224.0581164
2512,Andhra Pradesh,EAST GODAVARI,2014,Kharif     ,rice,226072,681833,66,53,41,25.0756354,80.52389148,7.778915154,257.0038865
2536,Andhra Pradesh,EAST GODAVARI,2014,Rabi       ,rice,168045,881396,97,59,43,26.35927159,84.04403589,6.286500176,271.3586137
2544,Andhra Pradesh,EAST GODAVARI,2014,Whole Year ,rice,394117,1563229,97,50,41,24.52922681,80.54498576,7.070959995,260.2634026
2554,Andhra Pradesh,GUNTUR,1997,Kharif     ,rice,295000,845300,60,49,44,20.77576147,84.49774397,6.244841491,240.0810647
2568,Andhra Pradesh,GUNTUR,1997,Rabi       ,rice,14500,51800,84,51,35,22.30157427,80.64416466,6.043304899,197.9791215
2581,Andhra Pradesh,GUNTUR,1998,Kharif     ,rice,298400,921400,73,57,41,21.44653958,84.94375962,5.824709117,272.2017204
2592,Andhra Pradesh,GUNTUR,1998,Rabi       ,rice,29100,99900,92,35,40,22.17931888,80.33127223,6.357389366,200.0882787
2606,Andhra Pradesh,GUNTUR,1999,Kharif     ,rice,302886,969414,85,37,39,24.52783742,82.73685569,6.364134968,224.6757231
2618,Andhra Pradesh,GUNTUR,1999,Rabi       ,rice,14822,53167,98,53,38,20.26707606,81.63895217,5.01450727,270.4417274
2635,Andhra Pradesh,GUNTUR,2000,Kharif     ,rice,292899,987363,88,54,44,25.7354293,83.88266234,6.149410611,233.1321372
2650,Andhra Pradesh,GUNTUR,2000,Rabi       ,rice,12692,49600,95,55,42,26.79533926,82.1480873,5.950660556,193.3473987
2673,Andhra Pradesh,GUNTUR,2001,Kharif     ,rice,272468,935110,99,57,35,26.75754171,81.17734011,5.960370061,272.2999056
2687,Andhra Pradesh,GUNTUR,2001,Rabi       ,rice,44917,181060,95,39,36,23.86330467,83.15250801,5.561398642,285.2493645
2710,Andhra Pradesh,GUNTUR,2002,Kharif     ,rice,202953,646811,60,43,44,21.01944696,82.95221726,7.416245107,298.4018471
2728,Andhra Pradesh,GUNTUR,2002,Rabi       ,rice,2716,7385,63,44,41,24.17298839,83.7287574,5.583370042,257.0343554
2766,Andhra Pradesh,GUNTUR,2003,Kharif     ,rice,170487,482990,62,42,36,22.78133816,82.06719137,6.430010215,248.7183228
2782,Andhra Pradesh,GUNTUR,2003,Rabi       ,rice,5772,16837,64,45,43,25.62980105,83.52842314,5.534878156,209.9001977
2821,Andhra Pradesh,GUNTUR,2004,Kharif     ,rice,240404,833961,83,60,36,25.59704938,80.14509262,6.903985986,200.834898
2837,Andhra Pradesh,GUNTUR,2004,Rabi       ,rice,21247,70922,82,40,40,23.83067496,84.81360127,6.271478838,298.5601175
2861,Andhra Pradesh,GUNTUR,2005,Kharif     ,rice,288879,892636,85,52,45,26.31355498,82.36698992,7.224285503,265.5355937
2874,Andhra Pradesh,GUNTUR,2005,Rabi       ,rice,31434,111559,91,35,38,24.8972823,80.52586088,6.13428721,183.6793207
2893,Andhra Pradesh,GUNTUR,2006,Kharif     ,rice,288638,783941,76,49,42,24.958779,84.47963372,5.206373153,196.9560008
2907,Andhra Pradesh,GUNTUR,2006,Rabi       ,rice,28933,100947,74,39,38,23.24113501,84.59201843,7.782051313,233.0453455
2925,Andhra Pradesh,GUNTUR,2007,Kharif     ,rice,283000,976000,79,43,39,21.66628296,80.70960551,7.062779015,210.8142087
2934,Andhra Pradesh,GUNTUR,2007,Rabi       ,rice,24000,85000,88,55,45,24.63544858,80.41363018,7.730367824,253.7202781
2947,Andhra Pradesh,GUNTUR,2008,Kharif     ,rice,281491,959321,60,36,43,23.43121862,83.06310136,5.286203711,219.9048349
2959,Andhra Pradesh,GUNTUR,2008,Rabi       ,rice,51358,187662,76,60,39,20.0454142,80.3477562,6.766240045,208.5810155
2980,Andhra Pradesh,GUNTUR,2009,Kharif     ,rice,190526,683226,93,56,42,23.85724032,82.22572988,7.382762603,195.0948311
2993,Andhra Pradesh,GUNTUR,2009,Rabi       ,rice,112342,383423,65,60,43,21.97199397,81.89918197,5.658169482,227.3637009
3017,Andhra Pradesh,GUNTUR,2010,Kharif     ,rice,271072,649760,95,52,36,26.22916897,83.83625819,5.543360238,286.5083725
3032,Andhra Pradesh,GUNTUR,2010,Rabi       ,rice,58393,201806,75,38,39,23.44676801,84.79352417,6.215109715,283.9338466
3054,Andhra Pradesh,GUNTUR,2011,Kharif     ,rice,281790,1080921,74,54,38,25.65553461,83.47021081,7.120272972,217.3788583
3068,Andhra Pradesh,GUNTUR,2011,Rabi       ,rice,11012,39060,91,36,45,24.44345477,82.45432595,5.950647577,267.9761948
3095,Andhra Pradesh,GUNTUR,2012,Kharif     ,rice,174699,607778,71,46,40,20.2801937,82.1235421,7.236705436,191.9535738
3120,Andhra Pradesh,GUNTUR,2012,Rabi       ,rice,8362,29903,99,55,35,21.7238313,80.2389895,6.501697816,277.9626192
3147,Andhra Pradesh,GUNTUR,2013,Kharif     ,rice,280060,912716,72,40,38,20.41447029,82.20802629,7.592490617,245.1511304
3169,Andhra Pradesh,GUNTUR,2013,Rabi       ,rice,48107,183288,83,58,45,25.75528612,83.51827127,5.875345751,245.6626799
3199,Andhra Pradesh,GUNTUR,2014,Kharif     ,rice,255607,1000190,93,58,38,20.61521424,83.77345559,6.932400225,279.5451717
3222,Andhra Pradesh,GUNTUR,2014,Rabi       ,rice,29695,111742,70,36,42,21.84106875,80.72886384,6.946209881,202.3838319
3231,Andhra Pradesh,GUNTUR,2014,Whole Year ,rice,285302,1111932,76,47,42,20.08369642,83.29114712,5.739175027,263.6372176
3244,Andhra Pradesh,KADAPA,1997,Kharif     ,rice,47700,77500,99,41,36,24.45802087,82.74835604,6.738652179,182.5616319
3255,Andhra Pradesh,KADAPA,1997,Rabi       ,rice,13000,27700,99,54,37,21.14347496,80.33502926,5.594819626,198.6730942
3271,Andhra Pradesh,KADAPA,1998,Kharif     ,rice,59200,169800,86,59,35,25.78720567,82.11124033,6.946636369,243.5120414
3281,Andhra Pradesh,KADAPA,1998,Rabi       ,rice,17000,41600,69,46,41,23.64124821,80.28597873,5.012139669,263.1103304
3298,Andhra Pradesh,KADAPA,1999,Kharif     ,rice,54783,134484,91,56,37,23.43191632,80.56887849,6.363472208,269.5039162
3312,Andhra Pradesh,KADAPA,1999,Rabi       ,rice,6828,12921,61,52,41,24.97669518,83.891805,6.880431223,204.8001847
3335,Andhra Pradesh,KADAPA,2000,Kharif     ,rice,60412,170120,67,45,38,22.72791041,82.1706881,7.300410836,260.8875056
3353,Andhra Pradesh,KADAPA,2000,Rabi       ,rice,7426,6134,79,42,37,24.87300744,82.84022551,6.587918708,295.6094492
3383,Andhra Pradesh,KADAPA,2001,Kharif     ,rice,38218,96883,78,43,42,21.32376327,83.00320459,7.283736617,192.3197536
3402,Andhra Pradesh,KADAPA,2001,Rabi       ,rice,37550,98231,75,54,36,26.29465461,84.56919326,7.023936392,257.4914906
3429,Andhra Pradesh,KADAPA,2002,Kharif     ,rice,27457,56424,97,36,45,22.2286982,81.85872947,6.939083505,278.0791793
3445,Andhra Pradesh,KADAPA,2002,Rabi       ,rice,9203,16446,67,47,44,26.73072391,81.78596776,7.868474653,280.4044392
3485,Andhra Pradesh,KADAPA,2003,Kharif     ,rice,23356,60025,73,35,38,24.88921174,81.97927117,5.005306977,185.9461429
3501,Andhra Pradesh,KADAPA,2003,Rabi       ,rice,10767,24032,77,36,37,26.88444878,81.46033732,6.136131869,194.5766559
3539,Andhra Pradesh,KADAPA,2004,Kharif     ,rice,46932,149619,81,41,38,22.67846116,83.72874389,7.524080076,200.9133156
3555,Andhra Pradesh,KADAPA,2004,Rabi       ,rice,5689,11424,68,57,43,26.08867875,80.37979919,5.706943251,182.9043504
3583,Andhra Pradesh,KADAPA,2005,Kharif     ,rice,45556,85828,72,45,35,25.42977518,82.94682591,5.758506323,195.3574542
3598,Andhra Pradesh,KADAPA,2005,Rabi       ,rice,21197,55791,61,53,43,26.40323239,81.05635517,6.349606327,223.3671883
3625,Andhra Pradesh,KADAPA,2006,Kharif     ,rice,41908,114493,67,43,39,26.04371967,84.96907151,5.999969026,186.7536773
3640,Andhra Pradesh,KADAPA,2006,Rabi       ,rice,4997,10963,67,58,39,25.2827223,80.54372813,5.453592032,220.1156708
3662,Andhra Pradesh,KADAPA,2007,Kharif     ,rice,45000,139000,66,60,38,22.08576562,83.47038318,6.372576327,231.7364957
3669,Andhra Pradesh,KADAPA,2007,Rabi       ,rice,17000,45000,82,43,38,23.28617173,81.43321641,5.105588355,242.3170629
3686,Andhra Pradesh,KADAPA,2008,Kharif     ,rice,50183,87168,84,50,44,25.48591986,81.40633547,5.935344406,182.6549356
3702,Andhra Pradesh,KADAPA,2008,Rabi       ,rice,14883,41271,81,53,42,23.67575393,81.03569343,5.17782304,233.7034975
3729,Andhra Pradesh,KADAPA,2009,Kharif     ,rice,52423,153757,91,50,40,20.82477109,84.1341879,6.462391607,230.2242223
3746,Andhra Pradesh,KADAPA,2009,Rabi       ,rice,12894,34169,93,53,38,26.92995077,81.91411159,7.069172227,290.6793783
3773,Andhra Pradesh,KADAPA,2010,Kharif     ,rice,53345,80657,90,44,38,23.83509503,83.88387074,7.473134377,241.2013513
3791,Andhra Pradesh,KADAPA,2010,Rabi       ,rice,17037,48896,81,45,35,26.52872817,80.12267476,6.158376967,218.9163567
3821,Andhra Pradesh,KADAPA,2011,Kharif     ,rice,47290,141161,78,40,38,26.46428311,83.85642678,7.549873681,248.2256491
3840,Andhra Pradesh,KADAPA,2011,Rabi       ,rice,6606,17499,60,51,36,22.69657794,82.81088865,6.028321558,256.9964761
3876,Andhra Pradesh,KADAPA,2012,Kharif     ,rice,24147,61551,88,46,42,22.68319059,83.46358271,6.604993475,194.2651719
